name,state,acronym,short_name
Loraines Academy & Spa,FL,LAS,LAS
Luther Rice College & Seminary,GA,LRCS,LRCS
State College of Florida-Manatee-Sarasota,FL,SCFMS,SCFMS
Manatee Technical College,FL,MTC,MTC
Traviss Technical College,FL,TTC,TTC
Merryfield Academy,FL,MA,MA
Miami Lakes Educational Center and Technical College,FL,MLECTC,MLECTC
Miami Dade College,FL,MDC,MDC
University of Miami,FL,UM,UM
Orange Technical College-South Campus,FL,OTCSC,OTCSC
Paul Mitchell the School-Jacksonville,FL,PMSJ,PMSJ
North Florida College,FL,NFC,NFC
University of North Florida,FL,UNF,UNF
